EPEA_Nro,Cruise,Year,Month,Day,Tipo_visita,Month_,Barco,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2011,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,AD201106,2011,10,21,Oportunista,oct,AD,Temp,Sal,NA,NA,NA,NA,NA,ABSO,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,PD201203,2012,7,2,Oportunista,jul,PD,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,NA,NA
NA,NA,2012,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,OB201202,2012,10,12,Propia,oct,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2012,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,EH201301,2013,1,12,Oportunista,ene,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
99,OB201301,2013,1,23,Oportunista,ene,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
